#,Amount in oz (unless noted),Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Kid's Flour Tortilla,1,140,30,3,2,0,0,320,22,1,0,4
Cilantro Lime,0.1,5,1,1,0,0,0,12,1,0,0,0
Spanish,0.2,7,2,0,0,0,0,20,1,0,0,0
Black or,0.3,9,0,0,0,0,0,32,2,1,0,1
Pinto or,0.4,8,0,0,0,0,0,44,1,0,0,0
Refried (lard-free),0.8,35,6,1,0,0,0,110,6,2,0,2
White Chicken,0.3,12,2,0,0,0,6,61,0,0,0,2
Dark Chicken,0.3,18,8,1,0,0,8,70,0,0,0,2
Pork Carnitas,1.03,55,27,3,1,0,13,492,2,1,0,4
Grass Fed Steak,0.22,10,4,0,0,0,2,69,0,0,0,1
"Ground Beef * Only in OK, TX",0.8,46,23,3,1,0,12,139,1,0,0,3
Jack Cheese,0.5,52,36,4,3,0,16,88,1,0,0,4
Mixed Cheese,0.5,55,40,4,3,0,16,92,0,0,0,4
Queso Fresco,0.5,40,30,3,2,0,8,110,1,0,0,3
Chips,0.5,76,35,4,0,0,0,9,9,1,0,1
Sour Cream,2,113,85,9,7,0,38,28,2,0,2,2
Bacon,1,153,107,12,4,0,31,655,0,0,0,11
Guacamole,2,73,57,6,1,0,0,170,5,3,1,1
Queso,1,77,58,7,4,0,16,344,1,0,1,3
Avocado,2.3,102,19,2,0,0,0,1,1,1,0,0